user_id,group,open,click,purchase
275,B,0,0,0
276,B,1,0,0
277,A,1,1,0
278,A,1,0,0
279,A,0,0,0
280,A,1,0,0
281,A,1,0,0
282,A,1,0,0
283,A,0,0,0
284,A,1,0,0
285,B,0,0,0
286,A,1,1,0
287,A,0,0,0
288,B,0,0,0
289,B,0,0,0
290,A,0,0,0
291,B,1,1,0
292,B,1,0,0
293,A,0,0,0
294,A,0,0,0
295,B,0,0,0
296,B,0,0,0
297,A,1,0,0
298,A,0,0,0
299,A,0,0,0
300,A,1,0,0
301,B,0,0,0
302,B,0,0,0
303,A,1,0,0
304,A,1,0,0
305,B,0,0,0
306,A,0,0,0
307,B,1,0,0
308,B,0,0,0
309,A,1,1,1
310,B,1,0,0
311,B,0,0,0
312,A,1,0,0
313,B,0,0,0
314,A,1,0,0
315,A,0,0,0
316,B,0,0,0
317,A,0,0,0
318,A,0,0,0
319,B,0,0,0
320,A,0,0,0
321,B,1,0,0
322,A,0,0,0
323,A,1,0,0
324,A,0,0,0
325,A,1,0,0
326,A,1,0,0
327,B,1,0,0
328,B,1,0,0
329,A,1,0,0
330,A,0,0,0
331,B,1,0,0
332,B,1,0,0
333,A,0,0,0
334,A,0,0,0
335,B,1,1,0
336,A,0,0,0
337,A,1,1,0
338,B,1,0,0
339,A,0,0,0
340,A,0,0,0
341,A,0,0,0
342,B,1,0,0
343,A,1,1,0
344,A,0,0,0
345,B,0,0,0
346,B,1,0,0
347,A,0,0,0
348,A,1,1,1
349,B,1,0,0
350,A,0,0,0
351,A,1,1,0
352,A,0,0,0
353,B,0,0,0
354,B,1,1,0
355,B,1,0,0
356,A,1,1,0
357,A,0,0,0
358,A,0,0,0
359,B,0,0,0
360,B,0,0,0
361,A,1,0,0
362,B,1,1,0
363,A,1,1,0
364,A,0,0,0
365,B,0,0,0
366,B,0,0,0
367,A,1,0,0
368,B,0,0,0
369,A,1,0,0
370,B,0,0,0
371,A,0,0,0
372,B,1,0,0
373,B,1,0,0
374,A,1,0,0
375,B,0,0,0
376,B,1,0,0
377,B,0,0,0
378,B,0,0,0
379,B,1,0,0
380,B,1,0,0
381,B,0,0,0
382,A,0,0,0
383,A,0,0,0
384,B,1,0,0
385,A,0,0,0
386,B,1,0,0
387,B,0,0,0
388,B,1,0,0
389,B,1,1,1
390,B,0,0,0
391,A,1,0,0
392,B,0,0,0
393,B,0,0,0
394,A,1,0,0
395,B,0,0,0
396,B,1,0,0
397,B,0,0,0
398,B,0,0,0
399,B,0,0,0
400,A,0,0,0
401,B,0,0,0
402,A,0,0,0
403,A,0,0,0
404,A,0,0,0
405,B,1,0,0
406,A,1,0,0
407,A,0,0,0
408,A,0,0,0
409,A,0,0,0
410,A,0,0,0
411,A,0,0,0
412,A,0,0,0
413,B,0,0,0
414,B,0,0,0
415,B,0,0,0
416,B,0,0,0
417,B,0,0,0
418,B,1,0,0
419,B,1,0,0
420,B,0,0,0
421,B,1,1,0
422,A,0,0,0
423,A,1,0,0
424,A,0,0,0
425,A,0,0,0
426,A,0,0,0
427,B,0,0,0
428,A,0,0,0
429,B,0,0,0
430,B,0,0,0
431,A,1,0,0
432,B,0,0,0
433,A,1,1,0
434,B,0,0,0
435,B,0,0,0
436,A,0,0,0
437,A,0,0,0
438,B,0,0,0
439,B,0,0,0
440,A,0,0,0
441,B,0,0,0
442,B,0,0,0
443,B,0,0,0
444,A,0,0,0
445,A,0,0,0
446,A,1,0,0
447,B,1,1,0
448,A,0,0,0
449,A,0,0,0
450,B,1,0,0
451,B,0,0,0
452,A,0,0,0
453,A,0,0,0
454,A,0,0,0
455,B,1,0,0
456,A,0,0,0
457,B,1,0,0
458,A,0,0,0
459,A,0,0,0
460,A,0,0,0
461,B,0,0,0
462,A,0,0,0
463,A,0,0,0
464,A,0,0,0
465,B,0,0,0
466,A,1,0,0
467,B,0,0,0
468,B,0,0,0
469,B,1,0,0
470,A,0,0,0
471,B,1,1,0
472,A,0,0,0
473,B,0,0,0
474,B,1,1,0
475,A,0,0,0
476,B,0,0,0
477,B,1,0,0
478,B,0,0,0
479,B,0,0,0
480,A,0,0,0
481,A,0,0,0
482,B,0,0,0
483,A,0,0,0
484,A,0,0,0
485,A,0,0,0
486,A,0,0,0
487,B,0,0,0
488,A,0,0,0
489,A,0,0,0
490,B,0,0,0
491,B,0,0,0
492,B,0,0,0
493,A,1,0,0
494,B,1,0,0
495,A,1,0,0
496,A,0,0,0
497,A,0,0,0
498,B,0,0,0
499,B,0,0,0
500,A,1,1,1
